date,Total_Sales,Total_Gallons
2009-09-28,2915.45,210
2009-10-05,4174.77,161
2009-10-12,3953.82,131
2009-10-19,6790.61,331
2009-10-26,4496.85,184
2009-11-02,6589.63,294
2009-11-09,6833.16,276
2009-11-16,6874.47,299
2009-11-23,7190.36,319
2009-11-30,1376.63,38
2009-11-30,2174.6,53
2009-12-07,5472.47,187
2009-12-14,4231.15,160
2009-12-21,2180.44,85
2009-12-28,3494.08,122
2010-01-11,3646.3,135
2010-01-18,5647.54,195
2010-01-25,6589.93,324
2010-02-01,5214.27,211
2010-02-08,5734.27,192
2010-02-15,3995.76,135
2010-02-22,4786.88,135
2010-03-01,7495.4,526
2010-03-08,4953.88,152
2010-03-15,6771.4,236
2010-03-22,5382.06,242
2010-03-29,5231.44,231
2010-04-05,3862.7,116
2010-04-05,3565.83,236
2010-04-12,7244.18,236
2010-04-19,6089.18,190
2010-04-26,5788.55,198
2010-05-03,5963.71,212
2010-05-10,6337.64,205
2010-05-17,7625.19,356
2010-05-24,7414.19,279
2010-05-31,8224.01,345
2010-06-07,10713.61,392
2010-06-14,11604.51,470
2010-06-21,9063.75,350
2010-06-28,7497.71,324
2010-07-05,2768.88,82
2010-07-05,3431.79,93
2010-07-12,6649.25,222
2010-07-19,9411.93,468
2010-07-26,9185.8,453
2010-08-02,7307.63,318
2010-08-09,8784.47,262
2010-08-16,7955.01,260
2010-08-23,6639.85,313
2010-08-30,8113.14,431
2010-09-06,3276.9,129
2010-09-06,3529.74,92
2010-09-13,4296.96,131
2010-09-20,5188.33,181
2010-09-27,6481.81,192
2010-10-04,6357.32,268
2010-10-04,698.78,21
2010-10-11,6792.02,253
2010-10-18,4715.98,194
2010-10-25,7305.45,269
2010-11-01,9154.05,361
2010-11-08,5336.44,230
2010-11-15,6384.98,333
2010-11-22,6346.75,201
2010-11-29,4932.91,208
2010-12-06,2253.51,98
2010-12-06,3389.85,106
2010-12-13,4691.69,116
2010-12-20,5512.9,153
2010-12-27,3688.36,129
2011-01-03,2778.61,151
2011-01-10,5704.92,183
2011-01-17,4039.83,125
2011-01-24,4200.09,200
2011-01-31,6010.56,227
2011-02-07,1488.75,39
2011-02-07,1572.98,49
2011-02-14,2909.08,99
2011-02-21,5405.74,183
2011-02-28,5625.74,242
2011-03-07,1149.16,40
2011-03-07,3077.26,121
2011-03-14,9822.98,284
2011-03-21,6835.78,216
2011-03-28,9291.04,308
2011-04-04,8638.27,379
2011-04-04,2656.01,118
2011-04-11,4371.68,135
2011-04-18,6826.79,198
2011-04-25,4776.44,129
2011-05-02,5553.99,190
2011-05-09,7772.95,187
2011-05-16,6946.12,231
2011-05-23,12297.67,284
2011-05-30,8228.67,249
2011-06-06,1787.57,61
2011-06-06,3655.98,87
2011-06-13,5784.81,195
2011-06-20,7860.29,308
2011-06-27,6615.78,159
2011-07-04,8304.83,219
2011-07-04,1327.72,39
2011-07-11,7846.06,295
2011-07-18,7662.47,259
2011-07-25,7317.08,249
2011-08-01,6230.62,196
2011-08-08,8134.18,281
2011-08-15,8322.5,213
2011-08-22,9510.35,404
2011-08-29,5337.08,149
2011-09-05,1860.85,56
2011-09-05,2682.25,72
2011-09-12,2550.28,72
2011-09-19,6212.38,240
2011-09-26,5114.4,131
2011-10-03,6489.11,305
2011-10-10,11843.28,522
2011-10-17,6536.97,179
2011-10-24,5280.71,194
2011-10-31,6937.2,270
2011-11-07,2095.93,122
2011-11-07,4206.58,138
2011-11-14,5664.1,174
2011-11-21,7216.41,185
2011-11-28,4134.35,119
2011-12-05,4089.06,175
2011-12-05,1260.28,45
2011-12-12,4098.91,114
2011-12-19,3699.06,119
2011-12-26,2433.99,54
2012-01-02,3961.41,100
2012-01-02,4461.91,88
2012-01-09,3900.35,72
2012-01-16,3685.75,90
2012-01-23,3423.01,66
2012-01-30,1111.02,30
2012-01-30,1546.15,30
2012-02-06,3664.26,77
2012-02-13,5592.77,200
2012-02-20,5375.23,156
2012-02-27,4677.74,106
2012-02-27,3297.9,73
2012-03-05,5646.5,223
2012-03-12,4006.98,104
2012-03-19,3342.26,79
2012-03-26,4707.07,161
2012-04-02,5333.45,140
2012-04-09,9003.13,233
2012-04-16,12175.58,454
2012-04-23,7166.09,145
2012-04-30,1097.47,18
2012-04-30,3322.38,92
2012-05-07,6776.9,296
2012-05-14,8505.1,297
2012-05-21,9289.84,405
2012-05-28,4470.26,141
2012-05-28,685.75,5
2012-06-04,9325.53,316
2012-06-11,9584.99,304
2012-06-18,9908.68,375
2012-06-25,9343.21,222
2012-07-02,3862.2,56
2012-07-09,8422.28,249
2012-07-16,10786.8,281
2012-07-23,6043.37,119
2012-07-30,4388.47,169
2012-07-30,7490.29,168
2012-08-06,14549.56,464
2012-08-13,10381.33,310
2012-08-20,4967.27,180
2012-08-27,12182.16,486
2012-09-03,4761.07,160
2012-09-10,6343.48,171
2012-09-17,3733.61,103
2012-09-24,5866.54,166
2012-10-01,4903.08,188
2012-10-08,5563.85,120
2012-10-15,5591.77,151
2012-10-22,9438.17,226
2012-10-29,2754.81,53
2012-10-29,2234.44,60
2012-11-05,9810.62,280
2012-11-12,5390.37,147
2012-11-19,2600.91,114
2012-11-26,5182.54,166
2012-12-03,4688.86,108
2012-12-10,6600.33,224
2012-12-17,6503.85,169
2012-12-24,2262.07,60
2012-12-31,142.66,3
2012-12-31,1558.03,29
2013-01-07,3471.13,68
2013-01-14,4119.74,119
2013-01-21,5861.67,92
2013-01-28,3596.57,67
2013-01-28,1082.57,27
2013-02-04,5455.77,207
2013-02-11,4391.75,92
2013-02-18,4921.88,105
2013-02-25,4009.44,140
2013-02-25,668.53,8
2013-03-04,6124.1,194
2013-03-11,9917.56,242
2013-03-18,7691.39,171
2013-03-25,9401.36,229
2013-04-01,3867.09,118
2013-04-08,3460.18,72
2013-04-15,3868.24,65
2013-04-22,4793.52,202
2013-04-29,2599.28,84
2013-04-29,2565.11,65
2013-05-06,9154.5,141
2013-05-13,8119.11,191
2013-05-20,13357.31,324
2013-05-27,7175.16,183
2013-06-03,8979.49,245
2013-06-10,8368.28,197
2013-06-17,8219.33,192
2013-06-24,5692.38,114
2013-07-01,6706.35,151
2013-07-08,6105.75,120
2013-07-15,6289.84,122
2013-07-22,7836.37,175
2013-07-29,3831.16,137
2013-07-29,5428.72,138
2013-08-05,8668.56,181
2013-08-12,5056.37,97
2013-08-19,5635.84,195
2013-08-26,8852.28,336
2013-09-02,4864.19,135
2013-09-09,5481.4,142
2013-09-16,7293.66,207
2013-09-23,6961.74,185
2013-09-30,1855.29,30
2013-09-30,5217.09,158
2013-10-07,4699.7,71
2013-10-14,3936.09,67
2013-10-21,6242.56,162
2013-10-28,6971.02,187
2013-10-28,973.56,13
2013-11-04,8834.6,193
2013-11-11,8152.74,192
2013-11-18,4891.75,129
2013-11-25,3181.25,58
2013-12-02,6219.17,194
2013-12-09,4842.63,121
2013-12-16,4819.89,156
2013-12-23,2014.67,35
2013-12-30,2420.31,52
2013-12-30,2204.8,53
2014-01-06,4420.34,75
2014-01-13,8775.73,248
2014-01-20,5623.89,124
2014-01-27,6754.09,204
2014-02-03,4396.37,87
2014-02-10,5450.77,172
2014-02-17,4843.97,105
2014-02-24,3971.78,87
2014-03-03,8621.38,207
2014-03-10,9540.59,248
2014-03-17,10067.61,248
2014-03-24,7489.36,159
2014-03-31,2343.13,60
2014-03-31,5374.54,102
2014-04-07,10220.06,231
2014-04-14,8684.26,233
2014-04-21,10022.52,236
2014-04-28,6689.42,129
2014-04-28,8553.73,162
2014-05-05,11042.62,253
2014-05-12,7192.61,180
2014-05-19,10414.61,234
2014-05-26,7852.22,221
2014-06-02,15113.64,328
2014-06-09,10149.4,281
2014-06-16,10168.67,243
2014-06-23,14335.12,360
2014-06-30,2775.97,73
2014-06-30,8263.46,244
2014-07-07,17568.24,543
2014-07-14,9891.73,207
2014-07-21,8806.96,187
2014-07-28,8008.84,163
2014-07-28,3600.89,93
2014-08-04,13235.03,344
2014-08-11,11959.58,245
2014-08-18,15350.68,415
2014-08-25,14699.74,358
2014-09-01,8184.71,197
2014-09-08,9055.79,209
2014-09-15,15047.07,359
2014-09-22,11222.72,228
2014-09-29,5131.08,146
2014-09-29,4790.37,136
2014-10-06,9736.15,251
2014-10-13,9773.52,272
2014-10-20,9002.95,220
2014-10-27,10900.46,175
2014-10-27,114.38,2
2014-11-03,8537.73,225
2014-11-10,8467.78,195
2014-11-17,7722.27,162
2014-11-24,5222.64,204
2014-12-01,6688.08,204
2014-12-08,8578.35,225
2014-12-15,12128.42,369
2014-12-22,2257.41,48
2014-12-29,3138.78,80
2014-12-29,1151.76,20
2015-01-05,6794.11,144
2015-01-12,7132.97,172
2015-01-19,4699.09,107
2015-01-26,11323.35,261
2015-02-02,9712.88,257
2015-02-09,11752.92,287
